Invoice Number,Vendor Name,GSTIN,Date,Taxable Amount,CGST,SGST,IGST,Total Amount
INV-2024-0233,Prime Steels,33EEEE3333A1Z4,2024-02-22,180318,16228.62,16228.62,0,212775.24
INV-2024-0234,Global Corp,22BBBB0000A1Z5,2024-02-28,672387,60514.83,60514.83,0,793416.66
INV-2024-0235,Enterprise 13 Ltd,01AAACC0013A1Z8,2023-11-03,223021,20071.89,20071.89,0,263164.78
INV-2024-0236,Enterprise 11 Ltd,09AAACC0011A1Z6,2023-11-15,469493,42254.37,42254.37,0,554001.74
INV-2024-0237,Prime Steels,33EEEE3333A1Z4,2024-03-09,448722,40384.98,40384.98,0,529491.96
INV-2024-0238,Enterprise 35 Ltd,03AAACC0035A1Z6,2023-11-03,811872,73068.48,73068.48,0,958008.96
INV-2024-0239,Enterprise 33 Ltd,02AAACC0033A1Z5,2024-02-13,324827,0,0,58468.86,383295.86
INV-2024-0240,Enterprise 39 Ltd,03AAACC0039A1Z5,2024-03-06,374731,33725.79,33725.79,0,442182.58
INV-2024-0241,Enterprise 1 Ltd,03AAACC0001A1Z3,2023-11-03,518122,46630.98,46630.98,0,611383.96
INV-2024-0242,Enterprise 30 Ltd,04AAACC0030A1Z2,2023-11-26,386226,34760.34,34760.34,0,455746.68
INV-2024-0243,Prime Steels,33EEEE3333A1Z4,2024-02-05,658336,59250.24,59250.24,0,776836.48
INV-2024-0244,Enterprise 43 Ltd,05AAACC0043A1Z3,2024-01-28,110038,0,0,19806.84,129844.84
INV-2024-0245,Enterprise 26 Ltd,02AAACC0026A1Z3,2024-01-21,15462,0,0,2783.16,18245.16
INV-2024-0246,TechNova Solutions,27AADCT1234E1Z1,2024-02-20,36533,0,0,6575.94,43108.94
INV-2024-0247,Enterprise 20 Ltd,05AAACC0020A1Z0,2023-11-27,590510,53145.9,53145.9,0,696801.8
INV-2024-0248,Enterprise 5 Ltd,06AAACC0005A1Z7,2024-03-15,746464,67181.76,67181.76,0,880827.52
INV-2024-0249,Enterprise 2 Ltd,08AAACC0002A1Z5,2023-12-08,444459,0,0,80002.62,524461.62
INV-2024-0250,Enterprise 13 Ltd,01AAACC0013A1Z8,2023-12-27,796515,0,0,143372.7,939887.7
INV-2024-0251,Enterprise 43 Ltd,05AAACC0043A1Z3,2024-03-05,532660,47939.4,47939.4,0,628538.8
INV-2024-0252,Dynamic Dealers,24DDDD2222A1Z3,2024-02-13,536445,0,0,96560.1,633005.1
INV-2024-0253,Enterprise 23 Ltd,01AAACC0023A1Z7,2024-01-20,413052,37174.68,37174.68,0,487401.36
INV-2024-0254,Enterprise 22 Ltd,09AAACC0022A1Z0,2023-11-21,324207,0,0,58357.26,382564.26
INV-2024-0255,Enterprise 13 Ltd,01AAACC0013A1Z8,2023-11-22,669625,0,0,120532.5,790157.5
INV-2024-0256,Enterprise 14 Ltd,03AAACC0014A1Z5,2024-01-04,884979,0,0,159296.22,1044275.22
INV-2024-0257,Enterprise 1 Ltd,03AAACC0001A1Z3,2023-11-08,779311,0,0,140275.98,919586.98
INV-2024-0258,Enterprise 42 Ltd,02AAACC0042A1Z5,2023-11-04,236920,21322.8,21322.8,0,279565.6
INV-2024-0259,Global Corp,22BBBB0000A1Z5,2024-02-15,387013,34831.17,34831.17,0,456675.34
INV-2024-0260,Enterprise 34 Ltd,01AAACC0034A1Z6,2024-03-22,591093,0,0,106396.74,697489.74
INV-2024-0261,Enterprise 18 Ltd,09AAACC0018A1Z2,2023-11-15,155204,0,0,27936.72,183140.72
INV-2024-0262,Global Corp,22BBBB0000A1Z5,2024-01-05,353972,31857.48,31857.48,0,417686.96
INV-2024-0263,Enterprise 32 Ltd,05AAACC0032A1Z3,2024-03-17,22141,1992.69,1992.69,0,26126.38
INV-2024-0264,Enterprise 12 Ltd,01AAACC0012A1Z4,2023-12-17,425584,0,0,76605.12,502189.12
INV-2024-0265,Enterprise 3 Ltd,08AAACC0003A1Z5,2024-02-28,252734,0,0,45492.12,298226.12
INV-2024-0266,Enterprise 36 Ltd,06AAACC0036A1Z4,2023-11-07,408820,0,0,73587.6,482407.6
INV-2024-0267,Enterprise 38 Ltd,04AAACC0038A1Z2,2023-11-14,460123,0,0,82822.14,542945.14
INV-2024-0268,Apex Logistics,21CCCC1111A1Z2,2024-03-01,847533,0,0,152555.94,1000088.94
INV-2024-0269,Apex Logistics,21CCCC1111A1Z2,2023-12-07,538656,0,0,96958.08,635614.08
INV-2024-0270,Apex Logistics,21CCCC1111A1Z2,2024-01-14,830166,0,0,149429.88,979595.88
INV-2024-0271,Enterprise 37 Ltd,01AAACC0037A1Z0,2023-12-15,835165,75164.85,75164.85,0,985494.7
INV-2024-0272,Global Corp,22BBBB0000A1Z5,2024-02-28,709423,0,0,127696.14,837119.14
INV-2024-0273,Enterprise 31 Ltd,09AAACC0031A1Z6,2024-03-16,17934,0,0,3228.12,21162.12
INV-2024-0274,Enterprise 35 Ltd,03AAACC0035A1Z6,2024-02-06,121846,0,0,21932.28,143778.28
INV-2024-0275,Enterprise 22 Ltd,09AAACC0022A1Z0,2024-03-12,196902,17721.18,17721.18,0,232344.36
INV-2024-0276,Enterprise 15 Ltd,02AAACC0015A1Z7,2024-02-26,460149,0,0,82826.82,542975.82
INV-2024-0277,Enterprise 6 Ltd,02AAACC0006A1Z2,2024-01-19,485244,43671.96,43671.96,0,572587.92
INV-2024-0278,Enterprise 26 Ltd,02AAACC0026A1Z3,2024-01-01,874536,0,0,157416.48,1031952.48
INV-2024-0279,Enterprise 40 Ltd,03AAACC0040A1Z7,2023-11-26,330005,29700.45,29700.45,0,389405.9
INV-2024-0280,Enterprise 6 Ltd,02AAACC0006A1Z2,2024-03-14,256414,0,0,46154.52,302568.52
INV-2024-0281,Enterprise 20 Ltd,05AAACC0020A1Z0,2023-12-25,758825,68294.25,68294.25,0,895413.5
INV-2024-0282,Enterprise 12 Ltd,01AAACC0012A1Z4,2024-01-02,732554,0,0,131859.72,864413.72
INV-2024-0283,Enterprise 43 Ltd,05AAACC0043A1Z3,2023-11-13,506399,45575.91,45575.91,0,597550.82
INV-2024-0284,Enterprise 25 Ltd,08AAACC0025A1Z3,2024-03-09,720765,64868.85,64868.85,0,850502.7
INV-2024-0285,Enterprise 41 Ltd,01AAACC0041A1Z2,2023-11-12,881908,0,0,158743.44,1040651.44
INV-2024-0286,Enterprise 9 Ltd,02AAACC0009A1Z6,2024-02-11,89872,8088.48,8088.48,0,106048.96
INV-2024-0287,Enterprise 23 Ltd,01AAACC0023A1Z7,2024-01-24,811578,73042.02,73042.02,0,957662.04
INV-2024-0288,Enterprise 37 Ltd,01AAACC0037A1Z0,2024-01-07,232458,20921.22,20921.22,0,274300.44
INV-2024-0289,Enterprise 23 Ltd,01AAACC0023A1Z7,2024-01-18,327342,29460.78,29460.78,0,386263.56
INV-2024-0290,Enterprise 41 Ltd,01AAACC0041A1Z2,2024-02-21,553455,0,0,99621.9,653076.9
INV-2024-0291,Enterprise 21 Ltd,05AAACC0021A1Z8,2023-11-16,186768,16809.12,16809.12,0,220386.24
INV-2024-0292,Enterprise 27 Ltd,08AAACC0027A1Z8,2024-02-20,422388,0,0,76029.84,498417.84
INV-2024-0293,Enterprise 24 Ltd,08AAACC0024A1Z4,2024-01-16,231094,20798.46,20798.46,0,272690.92
INV-2024-0294,Enterprise 25 Ltd,08AAACC0025A1Z3,2024-03-15,91480,8233.2,8233.2,0,107946.4
INV-2024-0295,Enterprise 22 Ltd,09AAACC0022A1Z0,2023-11-19,886508,79785.72,79785.72,0,1046079.44
INV-2024-0296,Enterprise 9 Ltd,02AAACC0009A1Z6,2024-02-06,582327,0,0,104818.86,687145.86
INV-2024-0297,Enterprise 27 Ltd,08AAACC0027A1Z8,2024-03-25,685411,61686.99,61686.99,0,808784.98
INV-2024-0298,Enterprise 29 Ltd,01AAACC0029A1Z1,2023-11-27,670312,0,0,120656.16,790968.16
INV-2024-0299,Enterprise 41 Ltd,01AAACC0041A1Z2,2024-02-22,907052,81634.68,81634.68,0,1070321.36
INV-2024-0300,Nexus Traders,09GGGG5555A1Z7,2024-03-09,759537,0,0,136716.66,896253.66
INV-2024-0301,Enterprise 11 Ltd,09AAACC0011A1Z6,2023-12-21,904742,0,0,162853.56,1067595.56
INV-2024-0302,Enterprise 30 Ltd,04AAACC0030A1Z2,2024-01-27,381942,0,0,68749.56,450691.56
INV-2024-0303,Enterprise 36 Ltd,06AAACC0036A1Z4,2023-11-14,320518,0,0,57693.24,378211.24
INV-2024-0304,Enterprise 29 Ltd,01AAACC0029A1Z1,2024-03-08,752949,67765.41,67765.41,0,888479.82
INV-2024-0305,Apex Logistics,21CCCC1111A1Z2,2023-11-16,194047,17464.23,17464.23,0,228975.46
INV-2024-0306,Apex Logistics,21CCCC1111A1Z2,2024-03-19,710407,0,0,127873.26,838280.26
INV-2024-0307,Enterprise 3 Ltd,08AAACC0003A1Z5,2023-12-11,882462,0,0,158843.16,1041305.16
INV-2024-0308,Enterprise 18 Ltd,09AAACC0018A1Z2,2024-03-15,726736,0,0,130812.48,857548.48
INV-2024-0309,Enterprise 30 Ltd,04AAACC0030A1Z2,2024-03-18,305625,0,0,55012.5,360637.5
INV-2024-0310,Enterprise 37 Ltd,01AAACC0037A1Z0,2024-02-26,302115,0,0,54380.7,356495.7
INV-2024-0311,Enterprise 9 Ltd,02AAACC0009A1Z6,2024-02-12,213581,19222.29,19222.29,0,252025.58
INV-2024-0312,Enterprise 15 Ltd,02AAACC0015A1Z7,2023-11-15,466323,41969.07,41969.07,0,550261.14
INV-2024-0313,Enterprise 3 Ltd,08AAACC0003A1Z5,2024-03-10,785374,70683.66,70683.66,0,926741.32
INV-2024-0314,Enterprise 38 Ltd,04AAACC0038A1Z2,2024-03-08,88457,0,0,15922.26,104379.26
INV-2024-0315,Global Corp,22BBBB0000A1Z5,2024-01-09,732620,0,0,131871.6,864491.6
INV-2024-0316,Enterprise 5 Ltd,06AAACC0005A1Z7,2024-03-12,297449,0,0,53540.82,350989.82
INV-2024-0317,Enterprise 9 Ltd,02AAACC0009A1Z6,2023-12-13,365365,0,0,65765.7,431130.7
INV-2024-0318,Enterprise 11 Ltd,09AAACC0011A1Z6,2023-11-18,686717,0,0,123609.06,810326.06
INV-2024-0319,Enterprise 5 Ltd,06AAACC0005A1Z7,2024-02-23,563251,50692.59,50692.59,0,664636.18
INV-2024-0320,Enterprise 22 Ltd,09AAACC0022A1Z0,2023-12-17,741315,0,0,133436.7,874751.7
INV-2024-0321,Enterprise 22 Ltd,09AAACC0022A1Z0,2024-01-23,391133,0,0,70403.94,461536.94
INV-2024-0322,Enterprise 1 Ltd,03AAACC0001A1Z3,2024-03-21,103421,9307.89,9307.89,0,122036.78
INV-2024-0323,Enterprise 29 Ltd,01AAACC0029A1Z1,2023-11-27,400622,36055.98,36055.98,0,472733.96
INV-2024-0324,Enterprise 6 Ltd,02AAACC0006A1Z2,2023-11-09,687663,61889.67,61889.67,0,811442.34
INV-2024-0325,Enterprise 13 Ltd,01AAACC0013A1Z8,2023-12-24,356498,32084.82,32084.82,0,420667.64
INV-2024-0326,Enterprise 11 Ltd,09AAACC0011A1Z6,2024-02-09,824166,74174.94,74174.94,0,972515.88
INV-2024-0327,Global Corp,22BBBB0000A1Z5,2023-12-07,570827,51374.43,51374.43,0,673575.86
INV-2024-0328,Enterprise 19 Ltd,01AAACC0019A1Z1,2024-03-18,68090,0,0,12256.2,80346.2
INV-2024-0329,TechNova Solutions,27AADCT1234E1Z1,2023-11-08,668066,60125.94,60125.94,0,788317.88
INV-2024-0330,Enterprise 10 Ltd,01AAACC0010A1Z0,2024-03-14,82458,7421.22,7421.22,0,97300.44
INV-2024-0331,Enterprise 9 Ltd,02AAACC0009A1Z6,2024-01-17,500825,45074.25,45074.25,0,590973.5
INV-2024-0332,Enterprise 5 Ltd,06AAACC0005A1Z7,2023-11-13,143153,0,0,25767.54,168920.54
INV-2024-0333,Enterprise 17 Ltd,04AAACC0017A1Z7,2023-11-23,92879,8359.11,8359.11,0,109597.22
INV-2024-0334,Enterprise 31 Ltd,09AAACC0031A1Z6,2024-03-24,514275,0,0,92569.5,606844.5
INV-2024-0335,Apex Logistics,21CCCC1111A1Z2,2024-02-22,97434,0,0,17538.12,114972.12
INV-2024-0336,Enterprise 35 Ltd,03AAACC0035A1Z6,2024-03-23,784974,70647.66,70647.66,0,926269.32
INV-2024-0337,Enterprise 16 Ltd,08AAACC0016A1Z7,2023-12-02,168453,15160.77,15160.77,0,198774.54
INV-2024-0338,Enterprise 29 Ltd,01AAACC0029A1Z1,2024-01-04,318292,0,0,57292.56,375584.56
INV-2024-0339,Enterprise 32 Ltd,05AAACC0032A1Z3,2024-03-09,648997,0,0,116819.46,765816.46
INV-2024-0340,Enterprise 28 Ltd,03AAACC0028A1Z7,2024-01-10,461809,0,0,83125.62,544934.62
INV-2024-0341,Enterprise 38 Ltd,04AAACC0038A1Z2,2024-01-15,685684,61711.56,61711.56,0,809107.12
INV-2024-0342,Enterprise 41 Ltd,01AAACC0041A1Z2,2024-02-25,173799,15641.91,15641.91,0,205082.82
INV-2024-0343,Enterprise 30 Ltd,04AAACC0030A1Z2,2024-03-24,416836,37515.24,37515.24,0,491866.48
INV-2024-0344,Enterprise 16 Ltd,08AAACC0016A1Z7,2023-12-26,257685,23191.65,23191.65,0,304068.3
INV-2024-0345,Enterprise 16 Ltd,08AAACC0016A1Z7,2023-12-25,363875,0,0,65497.5,429372.5
INV-2024-0346,Enterprise 8 Ltd,03AAACC0008A1Z8,2024-01-13,845187,76066.83,76066.83,0,997320.66
INV-2024-0347,Enterprise 17 Ltd,04AAACC0017A1Z7,2023-11-14,256211,0,0,46117.98,302328.98
INV-2024-0348,Enterprise 18 Ltd,09AAACC0018A1Z2,2024-01-02,876394,78875.46,78875.46,0,1034144.92
INV-2024-0349,Enterprise 14 Ltd,03AAACC0014A1Z5,2024-02-17,627645,56488.05,56488.05,0,740621.1
INV-2024-0350,Enterprise 36 Ltd,06AAACC0036A1Z4,2023-12-26,168677,15180.93,15180.93,0,199038.86
INV-2024-0351,Prime Steels,33EEEE3333A1Z4,2024-01-10,482751,0,0,86895.18,569646.18
INV-2024-0352,Enterprise 17 Ltd,04AAACC0017A1Z7,2023-11-20,120378,0,0,21668.04,142046.04
INV-2024-0353,Enterprise 14 Ltd,03AAACC0014A1Z5,2024-01-22,501144,0,0,90205.92,591349.92
INV-2024-0354,Enterprise 5 Ltd,06AAACC0005A1Z7,2023-11-25,306109,27549.81,27549.81,0,361208.62
INV-2024-0355,TechNova Solutions,27AADCT1234E1Z1,2024-03-18,725965,0,0,130673.7,856638.7
INV-2024-0356,TechNova Solutions,27AADCT1234E1Z1,2024-03-14,860606,77454.54,77454.54,0,1015515.08
INV-2024-0357,Enterprise 34 Ltd,01AAACC0034A1Z6,2024-02-20,751490,67634.1,67634.1,0,886758.2
INV-2024-0358,Enterprise 32 Ltd,05AAACC0032A1Z3,2023-12-24,316056,28445.04,28445.04,0,372946.08
INV-2024-0359,Enterprise 37 Ltd,01AAACC0037A1Z0,2024-03-20,30359,2732.31,2732.31,0,35823.62
INV-2024-0360,Enterprise 26 Ltd,02AAACC0026A1Z3,2024-03-26,264420,23797.8,23797.8,0,312015.6
INV-2024-0361,Enterprise 43 Ltd,05AAACC0043A1Z3,2024-01-04,156299,0,0,28133.82,184432.82
INV-2024-0362,Enterprise 34 Ltd,01AAACC0034A1Z6,2024-02-20,41547,0,0,7478.46,49025.46
INV-2024-0363,Enterprise 36 Ltd,06AAACC0036A1Z4,2024-01-25,728665,65579.85,65579.85,0,859824.7
INV-2024-0364,Enterprise 23 Ltd,01AAACC0023A1Z7,2023-11-07,828957,0,0,149212.26,978169.26
INV-2024-0365,Enterprise 39 Ltd,03AAACC0039A1Z5,2024-03-09,700420,0,0,126075.6,826495.6
INV-2024-0366,TechNova Solutions,27AADCT1234E1Z1,2023-12-20,448474,40362.66,40362.66,0,529199.32
INV-2024-0367,Enterprise 36 Ltd,06AAACC0036A1Z4,2023-12-24,477573,42981.57,42981.57,0,563536.14
INV-2024-0368,Enterprise 17 Ltd,04AAACC0017A1Z7,2024-01-21,885417,79687.53,79687.53,0,1044792.06
INV-2024-0369,Enterprise 19 Ltd,01AAACC0019A1Z1,2023-12-10,834779,0,0,150260.22,985039.22
INV-2024-0370,Enterprise 8 Ltd,03AAACC0008A1Z8,2024-01-03,180665,16259.85,16259.85,0,213184.7
INV-2024-0371,Enterprise 30 Ltd,04AAACC0030A1Z2,2024-03-04,145032,0,0,26105.76,171137.76
INV-2024-0372,Enterprise 23 Ltd,01AAACC0023A1Z7,2024-01-27,210907,18981.63,18981.63,0,248870.26
INV-2024-0373,Enterprise 41 Ltd,01AAACC0041A1Z2,2023-11-21,485620,0,0,87411.6,573031.6
INV-2024-0374,Enterprise 6 Ltd,02AAACC0006A1Z2,2023-12-27,265966,0,0,47873.88,313839.88
INV-2024-0375,Enterprise 30 Ltd,04AAACC0030A1Z2,2023-11-23,831835,0,0,149730.3,981565.3
INV-2024-0376,Enterprise 24 Ltd,08AAACC0024A1Z4,2024-03-03,303563,27320.67,27320.67,0,358204.34
INV-2024-0377,Enterprise 17 Ltd,04AAACC0017A1Z7,2023-12-17,600063,0,0,108011.34,708074.34
INV-2024-0378,Enterprise 4 Ltd,07AAACC0004A1Z3,2024-01-24,74678,6721.02,6721.02,0,88120.04
INV-2024-0379,Enterprise 31 Ltd,09AAACC0031A1Z6,2023-12-12,173964,0,0,31313.52,205277.52
INV-2024-0380,Enterprise 34 Ltd,01AAACC0034A1Z6,2024-02-16,799231,71930.79,71930.79,0,943092.58
INV-2024-0381,Enterprise 35 Ltd,03AAACC0035A1Z6,2024-02-06,470896,0,0,84761.28,555657.28
INV-2024-0382,Enterprise 39 Ltd,03AAACC0039A1Z5,2023-11-25,517258,0,0,93106.44,610364.44
INV-2024-0383,Enterprise 24 Ltd,08AAACC0024A1Z4,2023-11-13,561112,50500.08,50500.08,0,662112.16
INV-2024-0384,Enterprise 40 Ltd,03AAACC0040A1Z7,2023-11-06,906199,0,0,163115.82,1069314.82
INV-2024-0385,Enterprise 40 Ltd,03AAACC0040A1Z7,2024-03-18,320868,0,0,57756.24,378624.24
INV-2024-0386,Enterprise 6 Ltd,02AAACC0006A1Z2,2023-11-25,541925,48773.25,48773.25,0,639471.5
INV-2024-0387,Enterprise 8 Ltd,03AAACC0008A1Z8,2024-02-12,309537,0,0,55716.66,365253.66
INV-2024-0388,Enterprise 17 Ltd,04AAACC0017A1Z7,2024-01-20,546866,49217.94,49217.94,0,645301.88
INV-2024-0389,Enterprise 11 Ltd,09AAACC0011A1Z6,2023-11-01,202028,0,0,36365.04,238393.04
INV-2024-0390,Enterprise 43 Ltd,05AAACC0043A1Z3,2024-03-05,144696,0,0,26045.28,170741.28
INV-2024-0391,Enterprise 11 Ltd,09AAACC0011A1Z6,2023-12-04,155030,0,0,27905.4,182935.4
INV-2024-0392,Enterprise 18 Ltd,09AAACC0018A1Z2,2024-02-26,854993,76949.37,76949.37,0,1008891.74
INV-2024-0393,Enterprise 10 Ltd,01AAACC0010A1Z0,2023-11-23,645200,58068,58068,0,761336
INV-2024-0394,Enterprise 22 Ltd,09AAACC0022A1Z0,2023-11-28,311299,0,0,56033.82,367332.82
INV-2024-0395,Enterprise 9 Ltd,02AAACC0009A1Z6,2024-01-16,221325,19919.25,19919.25,0,261163.5
INV-2024-0396,Enterprise 35 Ltd,03AAACC0035A1Z6,2023-12-25,359311,0,0,64675.98,423986.98
INV-2024-0397,Enterprise 1 Ltd,03AAACC0001A1Z3,2024-01-17,230192,0,0,41434.56,271626.56
INV-2024-0398,Enterprise 28 Ltd,03AAACC0028A1Z7,2023-12-01,585825,0,0,105448.5,691273.5
INV-2024-0399,Prime Steels,33EEEE3333A1Z4,2024-03-15,422090,0,0,75976.2,498066.2
INV-2024-0400,Enterprise 15 Ltd,02AAACC0015A1Z7,2023-12-09,128018,11521.62,11521.62,0,151061.24
INV-2024-0401,Enterprise 35 Ltd,03AAACC0035A1Z6,2024-03-22,200624,18056.16,18056.16,0,236736.32
INV-2024-0402,Enterprise 8 Ltd,03AAACC0008A1Z8,2024-03-07,285330,0,0,51359.4,336689.4
INV-2024-0403,Enterprise 21 Ltd,05AAACC0021A1Z8,2023-11-09,704429,63398.61,63398.61,0,831226.22
INV-2024-0404,Enterprise 34 Ltd,01AAACC0034A1Z6,2024-01-24,498064,44825.76,44825.76,0,587715.52
INV-2024-0405,Enterprise 27 Ltd,08AAACC0027A1Z8,2024-03-03,72284,0,0,13011.12,85295.12
INV-2024-0406,Enterprise 4 Ltd,07AAACC0004A1Z3,2024-01-06,552018,49681.62,49681.62,0,651381.24
INV-2024-0407,Enterprise 16 Ltd,08AAACC0016A1Z7,2023-11-21,612853,55156.77,55156.77,0,723166.54
INV-2024-0408,Enterprise 43 Ltd,05AAACC0043A1Z3,2024-03-08,92264,0,0,16607.52,108871.52
INV-2024-0409,Enterprise 40 Ltd,03AAACC0040A1Z7,2024-01-09,329485,0,0,59307.3,388792.3
INV-2024-0410,Enterprise 10 Ltd,01AAACC0010A1Z0,2024-02-25,602773,0,0,108499.14,711272.14
INV-2024-0411,Rapid Delivery,14FFFF4444A1Z6,2023-12-01,578108,52029.72,52029.72,0,682167.44
INV-2024-0412,Enterprise 32 Ltd,05AAACC0032A1Z3,2023-11-19,864875,0,0,155677.5,1020552.5
INV-2024-0413,Enterprise 34 Ltd,01AAACC0034A1Z6,2024-01-07,40887,3679.83,3679.83,0,48246.66
INV-2024-0414,Enterprise 14 Ltd,03AAACC0014A1Z5,2024-01-24,181986,0,0,32757.48,214743.48
INV-2024-0415,Enterprise 25 Ltd,08AAACC0025A1Z3,2023-11-06,109537,0,0,19716.66,129253.66
INV-2024-0416,Enterprise 30 Ltd,04AAACC0030A1Z2,2024-03-01,512455,0,0,92241.9,604696.9
INV-2024-0417,Enterprise 24 Ltd,08AAACC0024A1Z4,2024-03-24,597358,53762.22,53762.22,0,704882.44
INV-2024-0418,Enterprise 33 Ltd,02AAACC0033A1Z5,2024-01-22,575471,0,0,103584.78,679055.78
INV-2024-0419,Enterprise 5 Ltd,06AAACC0005A1Z7,2023-12-12,182789,16451.01,16451.01,0,215691.02
INV-2024-0420,Enterprise 14 Ltd,03AAACC0014A1Z5,2024-01-20,123971,11157.39,11157.39,0,146285.78
INV-2024-0421,Enterprise 12 Ltd,01AAACC0012A1Z4,2024-03-02,450394,0,0,81070.92,531464.92
INV-2024-0422,Enterprise 16 Ltd,08AAACC0016A1Z7,2024-02-01,694014,62461.26,62461.26,0,818936.52
INV-2024-0423,Global Corp,22BBBB0000A1Z5,2024-02-27,456668,41100.12,41100.12,0,538868.24
INV-2024-0424,Enterprise 39 Ltd,03AAACC0039A1Z5,2024-02-15,736849,0,0,132632.82,869481.82
INV-2024-0425,Enterprise 38 Ltd,04AAACC0038A1Z2,2024-03-17,668835,0,0,120390.3,789225.3
INV-2024-0426,Global Corp,22BBBB0000A1Z5,2024-01-26,606363,54572.67,54572.67,0,715508.34
INV-2024-0427,Enterprise 13 Ltd,01AAACC0013A1Z8,2024-02-14,121304,0,0,21834.72,143138.72
INV-2024-0428,Enterprise 22 Ltd,09AAACC0022A1Z0,2023-12-07,40360,0,0,7264.8,47624.8
INV-2024-0429,Enterprise 18 Ltd,09AAACC0018A1Z2,2024-03-02,199125,0,0,35842.5,234967.5
INV-2024-0430,Enterprise 25 Ltd,08AAACC0025A1Z3,2024-03-03,682971,61467.39,61467.39,0,805905.78
INV-2024-0431,Enterprise 1 Ltd,03AAACC0001A1Z3,2023-12-20,426571,0,0,76782.78,503353.78
INV-2024-0432,Enterprise 15 Ltd,02AAACC0015A1Z7,2023-12-11,427758,0,0,76996.44,504754.44
INV-2024-0433,Enterprise 17 Ltd,04AAACC0017A1Z7,2024-02-23,789126,0,0,142042.68,931168.68
INV-2024-0434,Enterprise 11 Ltd,09AAACC0011A1Z6,2024-02-05,745866,0,0,134255.88,880121.88
INV-2024-0435,Enterprise 18 Ltd,09AAACC0018A1Z2,2024-01-23,344563,0,0,62021.34,406584.34
INV-2024-0436,Enterprise 41 Ltd,01AAACC0041A1Z2,2024-01-27,764805,68832.45,68832.45,0,902469.9
INV-2024-0437,Enterprise 42 Ltd,02AAACC0042A1Z5,2024-02-18,50891,4580.19,4580.19,0,60051.38
INV-2024-0438,Enterprise 2 Ltd,08AAACC0002A1Z5,2024-01-03,452519,0,0,81453.42,533972.42
INV-2024-0439,Global Corp,22BBBB0000A1Z5,2024-03-23,200462,0,0,36083.16,236545.16
INV-2024-0440,Enterprise 14 Ltd,03AAACC0014A1Z5,2023-12-26,35549,0,0,6398.82,41947.82
INV-2024-0441,Enterprise 20 Ltd,05AAACC0020A1Z0,2023-11-26,242827,21854.43,21854.43,0,286535.86
INV-2024-0442,Enterprise 26 Ltd,02AAACC0026A1Z3,2024-01-19,138737,12486.33,12486.33,0,163709.66
INV-2024-0443,Rapid Delivery,14FFFF4444A1Z6,2024-02-16,874721,78724.89,78724.89,0,1032170.78
INV-2024-0444,Rapid Delivery,14FFFF4444A1Z6,2024-02-12,654179,0,0,117752.22,771931.22
INV-2024-0445,Enterprise 29 Ltd,01AAACC0029A1Z1,2024-03-06,525682,0,0,94622.76,620304.76
INV-2024-0446,Enterprise 36 Ltd,06AAACC0036A1Z4,2024-03-11,323286,0,0,58191.48,381477.48
INV-2024-0447,Enterprise 32 Ltd,05AAACC0032A1Z3,2024-03-03,288152,0,0,51867.36,340019.36
INV-2024-0448,Enterprise 3 Ltd,08AAACC0003A1Z5,2024-03-06,276770,0,0,49818.6,326588.6
INV-2024-0449,Enterprise 41 Ltd,01AAACC0041A1Z2,2024-02-03,552445,0,0,99440.1,651885.1
INV-2024-0450,Enterprise 27 Ltd,08AAACC0027A1Z8,2023-12-02,598792,53891.28,53891.28,0,706574.56
INV-2024-0451,Apex Logistics,21CCCC1111A1Z2,2023-11-18,657122,0,0,118281.96,775403.96
INV-2024-0452,Enterprise 40 Ltd,03AAACC0040A1Z7,2024-03-27,554033,49862.97,49862.97,0,653758.94
INV-2024-0453,Enterprise 19 Ltd,01AAACC0019A1Z1,2024-01-12,437104,0,0,78678.72,515782.72
INV-2024-0454,Enterprise 16 Ltd,08AAACC0016A1Z7,2024-01-12,467761,42098.49,42098.49,0,551957.98
INV-2024-0455,Enterprise 37 Ltd,01AAACC0037A1Z0,2023-11-12,78403,0,0,14112.54,92515.54
INV-2024-0456,Enterprise 31 Ltd,09AAACC0031A1Z6,2023-11-21,648635,58377.15,58377.15,0,765389.3
INV-2024-0457,Enterprise 16 Ltd,08AAACC0016A1Z7,2023-11-19,368005,0,0,66240.9,434245.9
INV-2024-0458,Enterprise 18 Ltd,09AAACC0018A1Z2,2023-11-01,240522,0,0,43293.96,283815.96
INV-2024-0459,Enterprise 40 Ltd,03AAACC0040A1Z7,2024-03-06,897322,0,0,161517.96,1058839.96
INV-2024-0460,Enterprise 35 Ltd,03AAACC0035A1Z6,2023-12-15,778060,70025.4,70025.4,0,918110.8
INV-2024-0461,Enterprise 41 Ltd,01AAACC0041A1Z2,2024-03-22,509555,0,0,91719.9,601274.9
INV-2024-0462,Enterprise 41 Ltd,01AAACC0041A1Z2,2024-02-19,590827,53174.43,53174.43,0,697175.86
INV-2024-0463,Nexus Traders,09GGGG5555A1Z7,2024-01-12,283123,0,0,50962.14,334085.14
INV-2024-0464,Enterprise 15 Ltd,02AAACC0015A1Z7,2023-12-16,799492,0,0,143908.56,943400.56
INV-2024-0465,Prime Steels,33EEEE3333A1Z4,2023-11-06,224802,0,0,40464.36,265266.36
